first;last;translation;answer;application;key
Este regalo es;María Soledad.;This gift is for María Soledad.;para;para: recipient;para
Ella estudia;abogada.;She is studying to be a lawyer.;para;para: purpose or goal;para
Ahora, siempre anda;el Parque Central.;Now, he is always hanging out at Central Park.;por;por: general physical movement in and around a given place;por
Viajaron;España.;They traveled through Spain.;por;por: general physical movement in and around a given place;por
Compró una pluma;cuatro dólares.;He bought a pen for four dollars.;por;Por: exchange or price;por
La Sra. Pacheco trabaja;una compañía grande.;Mrs. Pacheco works for a big company.;para;para: employment;para
Llama a sus clientes;teléfono todos los días.;He calls his clients on the phone every day.;por;por: by, on ( the phone);por
No voy a votar;nadie.;I am not going to vote for anyone.;por;por: in favor of;por
El límite de velocidad es cien kilómetros;hora en Guadalajara.;The speed limit is one hundred kilometers per hour in Guadalajara.;por;por: per;por
Gracias;el dinero.;Thank you for the money.;por;por: Expression: gracias por;por
Dos;cuatro son ocho.;Two times four equals eight.;por;por: multiplication and division;por
Voy a la oficina cinco veces;semana.;I go to the office five times per week.;por;por: per;por
Andamos;el parque.;We walk through the park.;por;por: through;por
Ella me paga doce dólares;el libro.;She pays me twelve dollars for the book.;por;por: money or exchange;por
Yo estudié;dos horas;I studied for two hours.;por;por: duration of time;por
Ellos viajan;la noche.;They travel at night.;por;por: during;por
Prefiero viajar;tren.;I prefer to travel by train.;por;por: by;por
Prefiero hablar;teléfono.;I prefer to talk on the phone.;por;por: by, on (the phone);por
Me toman;loco.;They take me for crazy.;por;por: to be seen as;por
Me tomaron;Carlos.;They took me for Carlos.;por;por: mistaken identity;por
Yo voy a pasar;ti a las dos.;I am going to pick you up at two o'clock.;por;por: reason (with ir, venir, pasar, mandar, volver, and preguntar);por
Nosotros estamos;cocinar la cena.;We are about to cook dinner.;por;por: about;por
Estámos listos;cocinar la cena.;We are ready to cook dinner.;para;para: to be ready;para
Ellos están;terminar el puente.;They are about to finish the bridge.;por;por: about;por
El perro murió;falta de comida.;The dog died due to lack of food.;por;por: cause or reason;por
Estoy;comer.;I'm about to eat.;por;por: about, to be in the mood, or inclined to do something;por
La película fue hecha;Pedro Almodóvar.;The movie was made by Pedro Almodovar.;por;por: by;por
Ya son las ocho,;lo visto no van a llegar a tiempo.;It's eight o'clock already, apparently they are not going to arrive on time.;por;por: Expression: apparently;por
El hombre salió;Montevideo.;The man left for Montevideo.;para;para: destination;para
La copa es;vino.;The glass is for wine.;para;para: use;para
Fui al restaurante;comer tapas.;I went to the restaurant to eat tapas.;para;para: in order to;para
Estos chocolates son;ti.;These chocolates are for you.;para;para: recipient;para
Necesito el traje;el martes.;I need the suit by Tuesday.;para;para: deadline or specific time;para
Ella habla muy bien;ser extranjera.;For being a foreigner, she speaks very well.;para;para: contrast from what is expected;para
¿;qué estudias español?;Why do you study Spanish?;por;por: cause or reason;por
¿;qué estudias español?;What do you study Spanish for?;para;para: purpose;para
Ella estudia;ser profesora de español.;She studies to be a Spanish teacher.;para;para: in order to;para
El estudiante fue;el libro.;The student went to go get the book.;por;por: cause or reason;por
Pasamos;el bosque.;We went through the forest.;por;por: through, along, by, in the area of;por
Caminamos;el centro.;We walk through downtown.;por;por: through, along, by, in the area of;por
;diez años estuve en México.;I was in Mexico for ten years.;Por;por: duration of time;por
;ahora, ellos esperan.;For the moment, they are waiting.;Por;Idiomatic expression: for now;por
Te doy diez dólares;el sombrero.;I will give you ten dollars for the hat.;por;por: money or exchange;por
Esta carta es;Lisa.;This letter is for Lisa.;para;para: recipient;para
Este líquido sirve;limpiar el piso.;This liquid is for cleaning the floor.;para;para: use;para
Esta sala es;los empleados.;This room is for the employees.;para;para: use;para
¿;cuándo lo quieres?;When do you want it for?;para;para: deadline or specific time;para
Tenemos que terminar;mañana a la mañana.;We have to finish by tomorrow morning.;para;para: deadline or specific time;para
;extranjero, hablas muy bien el español.;For a foreigner, you speak Spanish very well.;Para;para: contrast from what is expected;para
Es muy lista;su edad.;She is very smart for her age.;para;para: contrast from what is expected;para
Se van;Bogotá.;They are leaving for Bogota.;para;para: destination;para
Vamos;la playa.;Let's go to the beach.;para;para: destination;para
Tú trabajas;ayudar a tu familia.;You work to help your family.;para;para: purpose;para
;lo visto, Juan tiene razón.;Apparently, Juan is right.;Por;por: Expression: apparently;por
;lo menos, todavía tienes tiempo.;At least, you still have time.;Por;por: Expression: at least;por
Las clases son dadas;un genio cada semana.;The classes are taught by a genius each week.;por;por: by;por
El se murió;haber fumado mucho.;He died for having smoked a lot.;por;por: because of;por
¿;eso me odias?;Is that why you hate me?;por;por: because of;por
Gracias;las flores.;Thank you for the flowers.;por;por: Expression: gracias por;por
Vamos;ti a las cuatro.;We're coming for you at four.;por;por: reason (with ir, venir, pasar, mandar, volver, and preguntar);por
El no va a tomar el examen;Fernando.;He is not going to take the test for Fernando.;por;por: instead of, on behalf of, in place of;por
Voy a dar la clase;Andrea. Ella está enferma.;I'm going to teach the class for Andrea. She is sick.;por;por: instead of, on behalf of, in place of;por
;ahora no trabajo.;For now I don't work.;Por;por: Idiomatic expression: for now;por
Mañana va a tomar el avión;París.;Tomorrow she is going to take the plane to Paris.;para;para: destination;para
Va a quedarse en Francia;dos semanas.;She is going to stay in France for two weeks.;por;por: duration of time;por
Va a comprar una computadora;su compañía.;She is going to buy a computer for her company.;para;para: recipient;para
Va a pagar un millón de dólares;aquella computadora.;She is going to pay one millon dollars for that computer.;por;por: money or exchange;por
¡Este correo electrónico es;ella!;This E-mail is for her!;para;para: recipient;para
Fue a la librería;cuadernos.;He went to the bookstore for notebooks.;por;por: cause or reason;por
Pagó cien pesos;los cuadernos.;He paid one hundred pesos for the notebooks.;por;por: money or exchange;por
Usted tuvo mil pesos;comprar el escritorio.;You had one thousand pesos to buy the desk.;para;para: in order to;para
El paraguayo está;saltar.;The Paraguayan is about to jump.;por;por: about;por
Un señor mandó un cheque;matricularse en una escuela.;A man sent a check to register in a school.;para;para: in order to;para
;dos semanas esperó y esperó.;She waited and waited for two weeks.;Por;por: duration of time;por
No mandamos ese curso;correo.;We don't send that course by mail.;por;por: by;por
Nos gustaba cambiar el azúcar;la sal.;We used to like to switch the sugar for the salt.;por;por: exchange;por
Fernando,;lo general no trabaja los domingos.;Fernando, in general doesn't work on Sundays.;por;por: Expression: generally, in general, usually;por
Pedro no trabaja,;lo tanto no tiene dinero.;Pedro doesn't work, consequently he doesn't have money.;por;por: Expression: consequently, therefore;por
Encontré veinte dólares;casualidad.;I found twenty dollars by chance.;por;por: Expression: by chance;por
Van a aumentar el alquiler un veinte;ciento el mes próximo.;They are going to increase the rent twenty percent next month.;por;por: Expression: percent;por
Juan se equivocó;completo.;Juan was completely wrong.;por;por: Expresion: completely;por
Mario;desgracia nunca tiene tiempo.;Unfortunately, Mario never has time.;por;por: Expression: unfortunately;por
Después de ocho meses;fin compramos el apartamento.;After eight months, finally we bought the apartment.;por;por: Expression: finally;por
Estuve enfermo,;eso no fui a la fiesta.;I was sick, therefore I didn't go to the party.;por;por: Expression: therefore;por
A veces no se trabaja,;ejemplo los domingos.;Sometimes one doesn't work, for example on Sundays.;por;por: Expression: for example;por
Ayer, comí paella;primera vez.;Yesterday, I ate paella for the first time.;por;por: Expression: for the first time;por
Me dijeron que;aquí hay un mercado.;They told me that around here, there is a market.;por;por: Expression: around here;por
Ayer, Luisa tomó mucho,;supuesto estaba borracha.;Yesterday, Luisa drank a lot, of course she was drunk.;por;por: Expression: of course;por
Vamos;aquí.;Let's go this way.;por;por: Expression: this way;por
¿Dónde?;allá.;Where? That way.;por;por: Expression: that way;por
Caminemos,;allí hay una entrada.;Let's walk, around there there is an entrance.;por;por: Expression: around there;por
Primero protestó y;ultimo se fue.;At first, he complained and finally he left.;por;por: Expression: finally;por
;favor no hable.;Please don't talk.;Por;por: Expression: please;por
No es muy serio;político.;For a politician, he is not very serious.;para;para: contrast from what is expected;para
Ayer salieron;Puerto Rico.;Yesterday, they left for Puerto Rico.;para;para: destination;para
Juan trabaja;ser jefe.;Juan works to become the boss.;para;para: in order to;para
El vino es;la noche.;The wine is for the night.;para;para: use;para
Nosotros trabajamos;las aerolíneas.;We work for the airlines.;para;para: employment;para
¿;qué es este formulario?;What is this form for?;para;para: what for?, for what use?;para
Hicimos pollo;la cena.;We made chicken for dinner.;para;para: recipient;para
;jugador de baloncesto eres bajo.;For a basketball player you are short.;Para;para: contrast from what is expected;para
Los regalos son;Tom's.;The gifts are for Tom's.;para;para: recipient;para
¿A dónde vas;Navidad?;Where are you going for Christmas?;para;para: destination;para
Fueron a la playa;las vacaciones.;They went to the beach for vacation.;para;para: for the purpose of;para
Jaime sirvió arroz y frijoles;la cena.;Jaime served rice and beans for lunch.;para;para: object directed toward a goal, purpose;para
Necesito a una mujer;limpiar el departamento.;I need a woman to clean the apartment.;para;para: in order to;para
;mi cumpleaños mi novio me dió un anillo.;For my birthday my boyfriend gave me a ring.;Para;para: recipient;para
Corro;perder peso.;I run to lose weight.;para;para: in order to;para
El garage es;mis herramientas y mi coche.;The garage is for my tools and my car.;para;para: object directed toward a goal, purpose;para
Vamos al restaurante;celebrar.;Let's go to the restaurant to celebrate.;para;para: in order to;para
;qué es esta herramienta?;What is this tool for?;Para;para: what for?, for what use?;para
Necesito una ducha;refrescarme.;I need a shower to cool off.;para;para: in order to;para
;esquiar necesitas esquies y palos de esqui.;To ski, you need skis and poles.;Para;para: in order to;para
Los chicos quieren helado;el postre.;The kids want icecream for dessert.;para;para: recipient;para
Tomemos una foto;recordar este momento;;para;para: in order to;para
;ser abogado necesitas un titulo.;To be a lawyer you need a degree.;Para;para: in order to;para
;artista, es bastante conservador.;For an artist, he is pretty conservative.;Para;para: contrast from what is expected;para
El informe es;el miercoles.;The report is due Wednesday.;para;para: deadline or specific time;para
Buenos Aires tiene muchos arboles;una ciudad.;Buenos Aires has a lot of trees for a city.;para;para: contrast from what is expected;para
;hacer flan, necesitas huevos.;To make flan, you need eggs.;Para;para: in order to;para
Usa una tijera;cortarlo.;Use a scissor to cut it.;para;para: in order to;para
El internet es bueno;información rapida.;The internet is good for fast information.;para;para: object directed toward a goal, purpose;para
Julio me dió una pintura;mi casamiento;Julio gave me a painting for my wedding.;para;para: recipient;para
Mamá usa gafas;ver.;Mom uses glasses to see.;para;para: in order to;para
;tener exito necesitas trabajar duro.;To have success you need to work hard.;Para;para: in order to;para
Hace calor;una mañana de abril.;It is hot for an April morning.;para;para: contrast from what is expected;para
El bebe llora;llamar tu atención.;The baby cries to get your attention.;para;para: in order to;para
Tomó una aspirina;el dolor de cabeza.;I took aspirin for my headache.;para;para: object directed toward a goal, purpose;para
Andrés empacó;su viaje.;Andrés packed for his trip.;para;para: for the purpose of;para
Sirvieron huevos y tostadas;el desayuno.;They served eggs and toast for breakfast.;para;para: object directed toward a goal, purpose;para
El bebe necesita leche;vivir.;The baby needs milk to survive.;para;para: in order to;para
El granito es lo mejor;mesadas.;Granite is the best for countertops.;para;para: object directed toward a goal, purpose;para
Felipe necesita terapia;la rodilla.;Phil needs therapy for his knee.;para;para: recipient;para
Agrega sal;darle sabor.;Add salt for flavor.;para;para: in order to;para
Necesito silencio;concentrarme.;I need silence in order to concentrate.;para;para: in order to;para
El yoga es muy bueno;relajarse.;Yoga is great to relax.;para;para: in order to;para
Tomo vitaminas;estar saludable.;I take vitamins to be healthy.;para;para: in order to;para
Estas pastillas son;el dolor de garganta.;These pills are for sore throats.;para;para: object directed toward a goal, purpose;para
Mamá hizo pastel;el postre.;Mom made pie for dessert.;para;para: object directed toward a goal, purpose;para
;conseguir una beca, tienes que solicitarla.;To get a scholarship, you have to apply.;Para;para: in order to;para
;ir al museo toma un taxi.;To go to the museum take a cab.;Para;para: in order to;para
Este es el tren;Chicago.;This is the train to Chicago.;para;para: destination;para
Salimos;Cuba.;We are leaving for Cuba.;para;para: destination;para
Fernando fue al hospital;cirugia.;Fernando went to the hospital for surgery.;por;por: because of, cause or reason;por
Zoe dejo una propina;el camarero.;Zoe left a tip for the waiter.;para;para: recipient;para
Necesito tiempo;pensar.;I need time to think.;para;para: in order to;para
No necesitas mucho dinero;ser feliz.;You don't need a lot of money to be happy.;para;para: in order to;para
Está;dejar a su esposa.;He is about to leave his wife.;por;por: about to, to be in the mood, inclined to do something;por
Estamos;terminar el trabajo.;We are about to finish the job.;por;por: about to, to be in the mood, inclined to do something;por
Fuimos;la ciudad.;We went to the city.;para;para: destination;para
Viví en Mexico;dos años.;I lived in Mexico for two years.;por;por: duration of time;por
Fueron a las montañas;una semana.;They went to the mountains for a week.;por;por: duration of time;por
El auto da 120 millas;hora.;The car gives 120 miles per hour.;por;por: per;por
Alex gana ochenta dólares;hora.;Alex earns eighty dollars an hour.;por;por: per;por
Gracias;el regalo.;Thank you for the gift.;por;por: Idiomatic expression: thank you for;por
Pregunta;Sara en la oficina.;Ask for Sara at the office.;por;por: reason (with ir, venir, pasar, mandar, volver, and preguntar);por
Envia el documento;fax.;Send the document by fax.;por;por: by;por
Enviaron el paquete;correo aereo.;They shipped the package by airmail.;por;por: by;por
Recibí la información;correo.;I received the information by mail.;por;por: by;por
Nueve;tres es veintisiete.;Nine times three is twenty seven.;por;por: multiplication and division;por
La pelicula fue dirigida;Pedro Almodovar.;The movie was directed by Pedro Almodovar.;por;por: by;por
El libro fue escrito;Hemingway.;The book was written by Hemingway.;por;por: by;por
Lo toman;Tom Cruise.;He is mistaken for Tom Cruise.;por;por: mistaken identity;por
Cruzamos;las montañas.;We crossed through the mountains.;por;por: through, along, by, in the area of;por
Lo compró;sesenta pesos.;I bought it for sixty pesos.;por;por: money or exchange, price;por
La tienda vende zapatos al;mayor.;The store sells shoes at wholesale.;por;por: Idiomatic expression: at (or by) wholesale;por
Veinticinco;ciento es por adelantado.;Twenty five percent is due in advance.;por;por: Idiomatic expression: percent;por
Treinta dividido;tres es diez.;Thirty divided by three is ten.;por;por: multiplication and division;por
Pregunta;Sally en la puerta.;Ask for Sally at the door.;por;por: reason (with ir, venir, pasar, mandar, volver, and preguntar);por
Aquí puedes cambiar dólares;euros.;Here you can exchange dollars for euros.;por;por: money or exchange, price;por
Luis vino aquí;una educación.;Luis came here for an education.;por;por: cause or reason, purpose;por
¿Hay una farmacia;aquí?;Is there a pharmacy around here?;por;por: Idiomatic expression: around here, this way;por
Siempre volvemos al restaurante;la comida buena.;We always go back to the restaurant for the good food.;por;por: because of;por
;ahora solo tomarémos café.;For now we will just have coffee.;por;por: Idiomatic expression: for now, for the time being;por
El ladrón se me acercó;detrás.;The thief approached me from behind.;por;por: Idiomatic expression: from behind;por
Pienso que dejó la universidad;despecho.;I think he quit college out of spite.;por;por: Idiomatic expression: out of spite;por
;desgracia Miguel no puede asistir a la boda.;Unfortunately Miguel can't attend the wedding.;Por;por: Idiomatic expression: unfortunately;por
;eso perdimos el partido.;That's why we lost the game.;Por;por: Idiomatic expression: therefore, for that reason;por
Georgina llegó tarde y;consiguiente perdió el vuelo.;Georgina was late and consequently she missed the flight.;por;por: Idiomatic expression: therefore, consequently;por
Hay mucho crimen;aquí.;There is a lot of around here.;por;por: Idiomatic expression: around here, this way;por
Puedes entrar;aquí.;You can enter through here.;por;por: through, along, by, in the area of;por
;amor de Dios, dime la verdad.;For the love of God, tell me the truth.;Por;por: Idiomatic expression: for the love of God;por
Mi novio pasó;mi casa.;My boyfriend stopped by my house.;por;por: by;por
La casa fue destruida;completo en el fuego.;The house was completely destroyed in the fire.;por;por: Idiomatic expression: completely;por
;algo no me gusta esa persona.;For some reason I don't like that guy.;Por;por: Idiomatic expression: for some reason, that's why;por
;ahora vamos a vivir juntos.;For the time being we are going to live together.;Por;por: Idiomatic expression: for now, for the time being;por
El trabajador gana trescientos dólares;día.;The worker makes three hundred dollars per day.;por;por: per;por
Es muy caro pagar;la universidad.;It is very expensive to pay for college.;por;por: money or exchange, price;por
;ejemplo Toyota fabrica autos.;For example Toyota manufactures cars.;Por;por: Idiomatic expression: for example;por
;esa razón no vamos al concierto.;That is why we aren't going to the concert.;Por;por: Idiomatic expression: for that reason, that is why;por
;favor deje un mensaje.;Please leave a message.;Por;por: Idiomatic expression: please;por
Ese taxi;poco nos atropella.;That taxi almost ran us over.;por;por: Idiomatic expression: almost, nearly;por
;otro lado es un hombre honesto;On the other hand he is an honest man.;Por;por: Idiomatic expression: on the other hand (or side);por
Trae tu tarjeta de credito;si acaso.;Bring your credit card just in case.;por;por: Idiomatic expression: in case, just in case;por
El alquiler en Nueva York está;las nubes.;The rent in New York is sky high.;por;por: Idiomatic expression: very expensive;por
Mamá corto el sandwich;la mitad.;Mom cut the sandwich in half.;por;por: Idiomatic expression: in half, in the middle;por
Necesito el documento;escrito.;I need the document in writing.;por;por: Idiomatic expression: in writing;por
;favor llamame.;Please call me.;Por;por: Idiomatic expression: please;por
;lo regular hablan ingles.;They usually speak English.;Por;por: Idiomatic expression: usually, as a rule;por
¿;qué llegas tarde?;Why are you late?;por;por: Idiomatic expression: why?;por
Trae tu pasaporte;si acaso.;Bring your passport just in case.;por;por: Idiomatic expression: in case, just in case;por
;otro lado es muy bueno.;On the other hand he is very nice.;Por;por: Idiomatic expression: on the other hand (or side);por
;fin salieron.;Finally they left.;Por;por: Idiomatic expression: finally, at last;por
Ven mañana;la mañana.;Come tomorrow morning.;por;por: Idiomatic expression: in the morning/afternoon, etc.;por
;ahora, vive en un apartamento.;For the time being, she is living in an apartment.;Por;por: Idiomatic expression: for now, for the time being;por
;algo, José no está aquí hoy.;For some reason, José is not here today.;Por;por: Idiomatic expression: for some reason, that's why;por
;lo tanto, creo que es lo mejor.;Therefore, I believe it is best.;Por;por: Idiomatic expression: consequently, therefore;por
;casualidad nos conocimos en la parada del autobus.;By chance we met at the bus stop.;Por;por: Idiomatic expression: by chance, by accident;por
Marcos memorizó la pelicula palabra;palabra.;Marcos memoraized the movie word by word.;por;por: Idiomatic expression: word for word;por
El parque es;allá.;The park is that way.;por;por: Idiomatic expression: around there, that way;por
Gracias;la camisa.;Thanks for the shirt.;por;por: Idiomatic expression: thank you for;por
Lleva tu casco;amor de Dios.;Wear your helmet for the love of God.;por;por: Idiomatic expression: for the love of God;por
Pablo,;ahora comerá un sandwich.;Pablo, I'll have a sandwich for now.;por;por: Idiomatic expression: for now, for the time being;por
Perdón;cancelar los planes.;Sorry for cancelling plans.;por;por: to express gratitude or apology;por
Diez;cuatro es cuarenta.;Ten times four is forty.;por;por: multiplication and division;por
Pagamos 300;mes por el coche.;We pay 300 hundred per month for the car.;por;por: per;por
Estoy aquí;seis semanas.;I'm here for six weeks.;por;por: period of time;por
La motocicleta va a 80 millas;hora.;The mtorcycle goes 80 miles per hour.;por;por: for velocity, frequency and proportion;por
;desgracia mi esposo está enfermo.;Unfortunately, my husband is sick.;Por;por: Idiomatic expression: unfortunately;por
El banco necesita el 20;ciento el primer mes.;The bank needs 20% the first month.;por;por: Idiomatic expression: percent;por
;ejemplo, ella siempre llega tarde.;For example, she always arrives late.;por;por: Idiomatic expression: for example;por
No puedo encontrar mis llaves;ningún lado.;I can't find my keys anywhere.;por;por: Idiomatic expression: nowhere;por
Tomamos una siesta;la tarde.;We take a nap in the afternoon.;por;por: Idiomatic expression: in the morning/afternoon, etc.;por
;el momento, Julio está contento.;For the moment, Julio is happy.;Por;por: Idiomatic expression: for the time being;por
El abogado tiene los documentos;si acaso.;The lawyer has the documents just in case.;por;por: Idiomatic expression: in case, just in case;por
Miguel necesita todo;escrito.;Miguel needs everything in writing.;por;por: Idiomatic expression: in writing;por
;mi parte, asisto a las reuniónes del sindicato.;As for me, I attend the union meetings.;Por;por: Idiomatic expression: as for me;por
¿;qué no bailas?;Why aren't you dancing?;por;por: Idiomatic expression: why?;por
No puedo encontrar mi dinero;ningún lado.;I can't find my money anywhere.;por;por: Idiomatic expression: nowhere;por
;fin papá recibió el cheque.;Finally, Dad received the check.;Por;por: Idiomatic expression: finally, at last;por
;eso te amo.;That's why I love you.;Por;por: Idiomatic expression: therefore, for that reason;por
Mamá cortó el sandwich;la mitad.;Mom cut the sandwich in half.;por;por: Idiomatic expression: in half, in the middle;por
;suerte no llovió.;Luckily, it didn't rain.;Por;por: Idiomatic expression: fortunately;por
;favor estudia.;Please study.;Por;por: Idiomatic expression: please;por
Sara compró el abrigo;$85.;Sara bought the coat for $85.;por;por: money or exchange, price;por
;casualidad nos encontramos.;We met by chance.;Por;por: Idiomatic expression: by chance, by accident;por
;fin mamá compró el coche.;Finally Mom bought the car.;Por;por: Idiomatic expression: finally;por
Zoe toma el autobus;Atlanta.;Zoe takes the bus to Atlanta.;para;para: destination;para
Brindemos;nosotros.;Let's do a toast to us.;por;por: in favor of;por
Necesito hielo;la limonada.;I need ice for the lemonade.;para;para: object directed toward a goal, purpose;para
El jefe votó;Carlos.;The boss voted for Carlos.;por;por: In favor of;por
El pueblo votó;el candidato democrata.;The people voted for the Democrat candidate.;por;por: In favor of;por
El pueblo votó;el candidato republicano.;The people voted for the Republican candidate.;por;por: In favor of;por
No voten;Carmen.;Don't vote for Carmen.;por;por: In favor of;por
Voy a votar;el mejor.;I am going to vote for the best.;por;por: In favor of;por
